P(Gpa),T (C),FeO total,SiO2 value,TiO2 value,Al2O3 value,Cr2O3 value,MnO value,MgO value,CaO value,Na2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value
2.700000048,1125,21.53000069,39.09000015,1.440000057,21.35000038,,0.519999981,9.829999924,5.96999979,,71.48000336,0.519999981,16.31999969,0.779999971,0.029999999,0.239999995,1.549999952,3.849999905,5.230000019
2.700000048,1150,20.87999916,38.38999939,1.659999967,21.57999992,,0.579999983,9.489999771,7.199999809,,70.63999939,0.589999974,16.54000092,0.970000029,0.01,0.25999999,1.75999999,3.910000086,5.320000172
3,975,24.20999908,38.54999924,0.519999981,21.12000084,,0.800000012,3.329999924,10.82999992,0.180000007,75.48000336,0.170000002,16.62000084,0.519999981,0.02,0.100000001,0.980000019,2.099999905,4
3,1010,24.64999962,38.08000183,0.980000019,21,,0.629999995,3.5,10.15999985,0.25999999,73.51000214,0.180000007,15.43999958,0.689999998,,0.07,0.779999971,3.109999895,6.21999979
3,1075,22.62000084,39.27999878,1,20.79000092,,0.560000002,7.800000191,6.809999943,0.360000014,72.16000366,0.370000005,16.04999924,0.649999976,0.029999999,0.119999997,0.879999995,3.599999905,6.130000114
3.200000048,1000,24.32999992,38.25,0.569999993,20.53000069,,0.74000001,2.190000057,12.78999996,0.159999996,70.79000092,0.090000004,16.37000084,0.540000021,0.050000001,0.109999999,1.559999943,4.179999828,6.309999943
3.200000048,1050,24.22999954,38.63999939,0.800000012,22.14999962,,0.629999995,3.589999914,10.05000019,,73.30000305,0.209999993,16.07999992,0.589999974,0.07,0.079999998,0.930000007,3.920000076,4.829999924
3.200000048,1100,24.51000023,37.75,0.99000001,20.54999924,,0.400000006,4.519999981,11.03999996,,70.09999847,0.50999999,16.43000031,1.279999971,0.039999999,0.289999992,2.00999999,4.199999809,5.139999866
0.600000024,900,22.11000061,41.83000183,0.319999993,23.30999947,,0.699999988,12.09000015,1.019999981,,73.80000305,0.289999992,15.13000011,0.860000014,0.029999999,0.389999986,0.419999987,3.880000114,5.190000057
1,900,24.44000053,39.38999939,0.340000004,22.63999939,,0.439999998,10.71000004,1.309999943,,73.40000153,0.239999995,15.25,0.74000001,0.07,0.349999994,0.519999981,4.349999905,5.079999924
5,1550,11.56000042,41.09000015,0.660000026,22.64999962,,,14.14000034,9.149999619,0.209999993,51.25999832,1.830000043,15.38000011,9.180000305,,7.159999847,11.31999969,3.049999952,
5,1600,11.06000042,41.11999893,0.670000017,22.73999977,,,14.09000015,9.699999809,0.119999997,52.00999832,1.889999986,15.56000042,8.640000343,,7.21999979,11.27000046,2.859999895,
7.5,1700,13.28999996,40.91999817,0.75999999,21.81999969,,,11.82999992,10.60000038,0.239999995,52.04000092,2.390000105,14.05000019,9.789999962,,6.190000057,11.85999966,3,
7.5,1775,11.72999954,41.25999832,0.860000014,22.19000053,,,12.75,10.47999954,0.25999999,53.43000031,1.899999976,14.82999992,9.979999542,,6.300000191,11.44999981,2.579999924,
14,2100,8.93999958,42.75,0.50999999,20.82999992,,,12.27999973,12.53999996,1.080000043,51.27999878,2.150000095,13.28999996,8.989999771,,5.659999847,12.02000046,2.890000105,
20,2200,8.039999962,45.06999969,0.449999988,19.69000053,,,11.43000031,12.35000038,2.109999895,55.61999893,1.899999976,13.82999992,8.359999657,,6.079999924,10.28999996,2.799999952,
23,2300,1.980000019,52.27999878,0.01,11.02000046,0.300000012,0.07,30.97999954,3.640000105,0.150000006,46.49000168,0.239999995,3.220000029,6.230000019,0.140000001,34.45999908,7.130000114,0.430000007,0.050000001
23.5,2300,2.920000076,52.09000015,0.02,9.970000267,0.330000013,0.100000001,30.76000023,4.320000172,0.289999992,44.75,0.270000011,2.420000076,9.149999619,0.189999998,32.04000092,8.359999657,0.600000024,0.090000004
1.200000048,1300,19.89999962,38.88999939,1.200000048,21.72999954,,0.74000001,10.25,6.420000076,,70.94000244,0.50999999,15.51000023,1.200000048,0.029999999,0.949999988,2.569999933,3.160000086,5.139999866
1.5,1000,18.63999939,39.70999908,1.110000014,22.42000008,,0.600000024,11.60000038,7.230000019,,72.19999695,0.389999986,15.5,1.179999948,0.039999999,0.569999993,1.620000005,3.339999914,5.170000076
0.699999988,1000,19.75,39.86000061,0.680000007,22.48999977,,0.660000026,13.44999981,2.710000038,,71.84999847,0.550000012,15.22000027,2.609999895,0.01,0.870000005,1.620000005,2.359999895,4.909999847
1,1000,16.63999939,41.06999969,0.870000005,22.37000084,,0.639999986,15.61999989,3.25999999,,72.87000275,0.5,14.67000008,1.860000014,0.050000001,0.75999999,1.889999986,2.539999962,4.860000134
1.200000048,1300,16.43000031,41.02000046,0.860000014,22.89999962,,0.289999992,13.97000027,5.210000038,,71.98000336,0.50999999,15.36999989,1.120000005,0.02,1.25999999,1.970000029,1.470000029,6.289999962
1.5,1000,15.56999969,40.13000107,1.529999971,22.39999962,,0.289999992,12.84000015,8.229999542,,71.23999786,0.379999995,16.45000076,0.970000029,0.050000001,0.569999993,2.569999933,2.190000057,5.590000153
2,1200,7.960000038,41.29000092,0.129999995,22.81999969,1.379999995,0.209999993,19.09000015,6.699999809,0.01,46.61000061,0.680000007,17.14999962,9.569999695,0.119999997,12.60999966,11.52000046,1.220000029,0.079999998
1.200000048,1110,13.30000019,40.40000153,0.370000005,22.89999962,0.219999999,0.400000006,14.80000019,6.900000095,0.01,53,0.689999998,19.89999962,5.619999886,0.090000004,3.420000076,6.340000153,3.960000038,0.689999998
1.200000048,1070,14.10000038,40.29999924,0.660000026,22.70000076,0.159999996,0.349999994,14.5,7.5,0.02,56.5,0.600000024,19,4.309999943,0.059999999,2.5,5.199999809,4.949999809,0.800000012
1.200000048,1070,15.30000019,41.20000076,0.360000014,23.29999924,0.209999993,0.49000001,13.39999962,7.5,0.01,53.59999847,0.449999988,19.20000076,5.5,0.100000001,2.900000095,6.269999981,3.609999895,0.569999993
