P(Gpa),T©,Fe2O3 value,converted,FeO value,SiO2 value,TiO2 value,Al2O3 value,Feo total,MnO value,MgO value,CaO value,Na2O value,K2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value,H2O value
0.939999998,750,,0,6.079999924,46.16999817,0.829999983,11.90999985,6.079999924,0.319999993,17.21999931,11.89000034,1.75999999,0.439999998,73.25,0.159999996,15.76000023,0.649999976,0.050000001,0.569999993,3.420000076,3.960000038,2.180000067,10.5
0.939999998,750,,0,7.130000114,46.34999847,0.839999974,11.68999958,7.130000114,0.469999999,16.59000015,11.47999954,1.559999943,0.479999989,73.54000092,0.25999999,15.06000042,1.309999943,0.100000001,0.460000008,2.799999952,3.720000029,2.75,9.729999542
0.939999998,750,,0,8.789999962,48.75,0.74000001,11.39000034,8.789999962,0.589999974,15.44999981,11.47000027,1.610000014,0.620000005,73.79000092,0.180000007,15.18999958,1.00999999,0.07,0.529999971,2.390000105,3.420000076,3.430000067,9.039999962
0.959999979,841,,0,8.029999733,48.43999863,0.939999998,13.55000019,8.029999733,0.25,15.27999973,11.72999954,2.299999952,0.49000001,70.95999908,0.25999999,17.65999985,0.810000002,0.029999999,0.310000002,4.139999866,4.110000134,1.720000029,11.68999958
0.959999979,841,,0,11.02999973,46.15999985,0.829999983,13.39999962,11.02999973,0.25,13.9442997,11.35999966,2.210000038,0.430000007,72.12999725,0.25,17.01000023,0.689999998,0.059999999,0.280000001,3.700000048,4.010000229,1.860000014,10.34000015
0.959999979,841,,0,10.36999989,44.00999832,0.949999988,12.18999958,10.36999989,0.389999986,14.56000042,11.01000023,1.909999967,0.430000007,74.26000214,0.200000003,15.47999954,0.74000001,0.039999999,0.439999998,2.799999952,3.75999999,2.279999971,9.539999962
0.959999979,841,,0,5.510000229,48.25999832,1.139999986,10.18000031,5.510000229,0.300000012,17.38999939,11.64000034,1.870000005,0.379999995,75.52999878,0.200000003,14.36999989,0.75,0.050000001,0.389999986,2.24000001,3.730000019,2.74000001,7.980000019
0.959999979,841,,0,8.880000114,44.25999832,0.949999988,11.19999981,8.880000114,0.400000006,14.52999973,10.14000034,2.089999914,0.779999971,73.48000336,0.189999998,15.47000027,0.680000007,0.029999999,0.460000008,2.190000057,3.680000067,3.819999933,7.159999847
0.829999983,892,,0,7.809999943,43.77000046,1,12.59000015,7.809999943,0.200000003,16.45999908,11.77999973,2.289999962,0.389999986,69.66999817,0.230000004,17.57999992,1.059999943,0.039999999,0.540000021,4.110000134,4.989999771,1.75999999,9.319999695
0.829999983,892,,0,9.539999962,45.36999893,1.120000005,12.57999992,9.539999962,0.239999995,15.56000042,11.14999962,2.119999886,0.439999998,71.33999634,0.209999993,16.64999962,0.949999988,0.119999997,0.569999993,3.680000067,4.409999847,2.069999933,7.960000038
0.829999983,892,,0,7.710000038,44.86000061,0.939999998,10.57999992,7.710000038,0.379999995,17.34000015,10.92000008,1.74000001,0.370000005,75.02999878,0.200000003,14.39000034,0.889999986,0.059999999,0.519999981,2.299999952,4,2.609999895,6.349999905
0.970000029,892,,0,8.069999695,44.04999924,0.730000019,10.98999977,8.069999695,0.170000002,16.86000061,11.88000011,2.089999914,0.409999996,70.23000336,0.239999995,17.76000023,1.289999962,0.059999999,0.460000008,4.400000095,3.930000067,1.629999995,12.90999985
0.970000029,892,,0,9.529999733,45.06999969,0.949999988,11.81000042,9.529999733,0.239999995,15.64999962,11.47000027,2.150000095,0.439999998,70,0.25999999,17.70000076,1.220000029,0.109999999,0.75,4.119999886,4.170000076,1.669999957,10.39999962
0.970000029,892,,0,10.26000023,45.56000137,0.949999988,12.60000038,10.26000023,0.280000001,14.85999966,10.71000004,2.279999971,0.379999995,71.95999908,0.270000011,16.40999985,1.120000005,0.109999999,0.579999983,3.130000114,3.289999962,2.119999886,8.149999619
0.959999979,943,,0,7.28000021,44.83000183,0.839999974,11.22000027,7.28000021,0.189999998,17.69000053,11.42000008,2.180000067,0.389999986,68.95999908,0.25999999,17.40999985,1.429999948,0.07,1.019999981,4.03000021,5.269999981,1.559999943,8.520000458
0.959999979,943,,0,8.449999809,44.61999893,1.110000014,12.47000027,8.449999809,0.25999999,16.34000015,10.93999958,2.279999971,0.370000005,70.19999695,0.239999995,16.82999992,1.159999967,0.079999998,0.970000029,3.269999981,5.420000076,1.830000043,6.809999943
0.920000017,950,,0,5.690000057,46.79999924,0.860000014,11.69999981,5.690000057,0.090000004,17.5,9.779999733,2.640000105,0.469999999,71.19000244,0.079999998,19.03000069,1.159999967,0.039999999,0.360000014,2.220000029,3.75,1.799999952,11.92000008
0.920000017,950,,0,6.21999979,44.79999924,0.660000026,12.19999981,6.21999979,0.100000001,18,10.60000038,2.400000095,0.379999995,70.41000366,0.140000001,19,1.470000029,0.039999999,0.670000017,2.690000057,3.480000019,1.830000043,11.43999958
0.920000017,950,,0,6.489999771,47.15000153,0.910000026,10.64000034,6.489999771,0.109999999,17.15999985,10.72000027,2.170000076,0.340000004,71.05999756,0.119999997,18.73999977,1.350000024,0.050000001,0.49000001,2.460000038,3.460000038,1.909999967,11.75
0.920000017,1000,,0,6.429999828,44.20000076,0.589999974,12.19999981,6.429999828,0.090000004,17.60000038,10.5,3.049999952,0.569999993,69.19999695,0.100000001,20.78000069,1.210000038,0.039999999,0.239999995,2.440000057,4.429999828,1.139999986,12.60999966
0.920000017,1000,,0,6.809999943,43.59999847,0.579999983,12.30000019,6.809999943,0.189999998,17.79999924,10.89999962,2.680000067,0.550000012,70,0.180000007,20.13999939,1.799999952,0.039999999,0.230000004,3.559999943,2.390000105,1.340000033,13.57999992
0.920000017,1000,,0,4.590000153,45.09999847,0.800000012,11.10000038,4.590000153,,18.5,11,2.539999962,0.629999995,69.47000122,0.140000001,20.28000069,1.649999976,0.029999999,0.25999999,2.869999886,3.440000057,1.370000005,13.02000046
1.5,700,,0,15.64000034,44.00999832,0.74000001,17.62999916,15.64000034,0.639999986,7.179999828,6.75,3.059999943,0.589999974,60.93000031,1.470000029,14.97000027,9.600000381,,5.289999962,0.74000001,0.949999988,5.480000019,
1.5,750,,0,16.22999954,42.56000137,0.800000012,19.23999977,16.22999954,0.680000007,7.309999943,6.519999981,2.940000057,0.620000005,65.54000092,0.720000029,19,3.549999952,,2.319999933,1.600000024,3.099999905,4.170000076,
1.5,800,,0,20.29999924,41.00999832,0.660000026,19.96999931,20.29999924,0.800000012,5.96999979,6.900000095,1.99000001,0.379999995,68.80000305,0.519999981,16.96999931,2.480000019,,2.140000105,1.269999981,3.920000076,3.480000019,
1.5,850,,0,24.03000069,36.88000107,0.579999983,20.27000046,24.03000069,1.299999952,5.21999979,7.929999828,,0.119999997,69.69000244,0.379999995,17.05999947,1.950000048,,1.539999962,1.090000033,2.910000086,4.889999866,
1.5,900,,0,23.23999977,38.5,0.629999995,22.54999924,23.23999977,0.899999976,7.46999979,4,0.49000001,0.25,73.41000366,0.239999995,15.68000031,0.959999979,,0.379999995,0.949999988,3.069999933,5.210000038,
1.5,800,,0,16.97999954,42.54000092,0.860000014,20.32999992,16.97999954,0.680000007,7.139999866,6.289999962,1.129999995,0.550000012,70.66999817,0.49000001,16.54999924,1.980000019,,1.590000033,1.00999999,2.940000057,4.369999886,
1.5,900,,0,17.72999954,44.84999847,0.850000024,19.97999954,17.72999954,0.460000008,8.359999657,3.859999895,0.720000029,0.860000014,72.01999664,0.49000001,15.88000011,1.320000052,,0.519999981,1.190000057,3.039999962,5.460000038,
0.219999999,776,,0,12.5,48,1.200000048,8.600000381,12.5,,13.89999962,9.600000381,1.399999976,0.300000012,75.69000244,0.25999999,14.03999996,1.269999981,,0.389999986,1.919999957,3.529999971,2.799999952,6.900000095
0.219999999,899,,0,12.39999962,45.59999847,1.899999976,10.60000038,12.39999962,,13.89999962,10.80000019,2.200000048,0.400000006,68.05000305,0.370000005,16.69000053,3.339999914,,1.080000043,3.960000038,4.610000134,1.820000052,6.900000095
1,750,,0,6.099999905,46.20000076,0.800000012,11.89999962,6.099999905,,17.20000076,11.89999962,1.799999952,0.400000006,73.54000092,0.159999996,15.76000023,0.649999976,,0.569999993,3.420000076,3.960000038,2.180000067,10.5
0.5,975,,0,8.399999619,44.70000076,1.700000048,11.80000019,8.399999619,,15.30000019,12,2.200000048,0.200000003,63.5,0.349999994,18.89999962,,,2.960000038,5.300000191,4.440000057,0.74000001,
0.5,875,,0,10.10000038,46.59999847,1.700000048,9.600000381,10.10000038,,16,11,1.600000024,0.100000001,77.09999847,0.150000006,13.5,,,0.529999971,2.039999962,3.24000001,2.019999981,
0.5,975,,0,7.699999809,42.70000076,1,12.80000019,7.699999809,,16.5,11.5,2,0.200000003,65.30000305,0.270000011,19,,,2.200000048,4.010000229,4.880000114,0.910000026,
0.5,975,,0,7.900000095,42,0.600000024,12.30000019,7.900000095,,16.10000038,11.19999981,2,0.200000003,64.5,0.310000002,18.70000076,,,2.630000114,5.610000134,4.21999979,0.730000019,
0.5,975,,0,8.699999809,44.90000153,1.100000024,12.39999962,8.699999809,,16.5,11.60000038,2,0.200000003,63.40000153,0.349999994,18.89999962,,,2.75999999,5.53000021,4.440000057,0.74000001,
0.200000003,840,,0,15.81999969,44.72000122,1.769999981,9.029999733,15.81999969,0.330000013,12.72000027,10.51000023,1.649999976,0.129999995,69.19000244,0.209999993,13.38000011,2.170000076,0.100000001,0.379999995,2.470000029,4.170000076,1.75,
0.200000003,810,,0,15.88000011,46.79000092,1.039999962,7.699999809,15.88000011,0.569999993,14.21000004,10.34000015,1.200000048,0.119999997,75.23999786,0.219999999,13.42000008,1.710000038,0.100000001,0.310000002,2.440000057,4.53000021,2.039999962,
0.129999995,825,,0,15.18999958,47.49000168,1.379999995,6.960000038,15.18999958,0.579999983,14.27999973,11.14000034,1.279999971,0.150000006,71.80999756,0.270000011,12.05000019,1.669999957,0.050000001,0.270000011,2.109999895,4.099999905,1.879999995,
0.129999995,830,,0,14.5,48.11000061,1.090000033,6.53000021,14.5,,15.85999966,9.270000458,1.090000033,0.119999997,73.68900299,0.220109999,12.34529972,1.358940005,0.095700003,0.344520003,2.201100111,3.569610119,1.866150022,4.300000191
1.200000048,1070,,0,8.800000191,42.40000153,1.700000048,15.69999981,8.800000191,0.039999999,15,10.19999981,2.980000019,0.289999992,56.5,0.600000024,19,4.309999943,0.059999999,2.5,5.199999809,4.949999809,0.800000012,6.400000095
1.200000048,1070,,0,9.199999809,41.79999924,1.220000029,16.39999962,9.199999809,0.140000001,14.80000019,10.5,2.75999999,0.280000001,53.59999847,0.449999988,19.20000076,5.5,0.100000001,2.900000095,6.269999981,3.609999895,0.569999993,9
0.213,876,,0,13.89999962,47.08000183,1.309999943,9.239999771,13.89999962,0.449999988,13.22000027,10.13000011,1.75,0.219999999,68.19139862,0.300319999,14.10569954,2.214859962,0.187700003,0.300319999,3.350450039,3.378599882,1.811310053,6.150000095
0.200000003,990,,0,8.850000381,42.79999924,3.069999933,12.39999962,8.850000381,0.129999995,15,11.5,2.75,0.219999999,59.5,0.959999979,18.29999924,5.679999828,0.140000001,2.859999895,6.269999981,5.199999809,0.75,
